date,course_id,course_name,category,level,is_new_course,list_price,pv_total,pv_organic,pv_ads,pv_social,uv_total,trial_total,add_to_cart_total,purchase_total,refunds,revenue_course,coupon_redemptions,learning_sessions,active_learners,lesson_starts,lesson_completions,avg_watch_time_min,avg_quiz_score,nps_responses,nps_score_avg,registrations,new_paid_users,subs_quarterly,subs_annual,subs_expiring,subs_renewals,revenue_subscription,revenue_enterprise
2024-06-01,1001,雅思口语专项突破,英语类课程,入门,0,812,142,81,37,24,94,36,8,5,0,751.0834092158881,1,56,14,56,36,29.59,79.7,0,43.5,0,1,1,0,0,0,704.8019326868981,115.5723599298408
2024-06-02,1001,雅思口语专项突破,英语类课程,入门,0,812,167,100,43,24,110,48,15,5,0,649.5368465271289,2,89,22,89,57,43.6,83.2,0,57.7,21,0,0,0,0,0,855.6110798557104,140.30181685806002
2024-06-03,1001,雅思口语专项突破,英语类课程,入门,0,812,120,70,33,17,79,31,8,1,0,150.94666316660394,0,53,13,53,32,13.62,85.5,2,57.5,17,0,0,1,0,0,569.3814740046994,93.36631697388889
2024-06-04,1001,雅思口语专项突破,英语类课程,入门,0,812,132,79,32,21,87,43,13,6,1,807.3571812470296,1,86,21,86,51,19.06,83.7,2,46.1,7,2,0,0,0,0,726.346096568157,119.105139491015
2024-06-05,1001,雅思口语专项突破,英语类课程,入门,0,812,129,75,31,23,85,39,9,3,1,418.600416933804,2,72,18,72,45,37.51,86.2,0,58.7,14,0,0,0,0,0,664.791342621703,109.01148360194593
2024-06-06,1001,雅思口语专项突破,英语类课程,入门,0,812,145,83,37,25,96,41,12,5,0,793.4897461109654,2,72,18,72,48,41.58,73.3,0,49.2,28,3,0,0,0,0,744.8125227520932,122.13323625773572
2024-06-07,1001,雅思口语专项突破,英语类课程,入门,0,812,134,75,38,21,88,39,5,3,0,428.79697040029566,1,67,16,67,45,20.81,77.7,0,39.2,14,2,0,0,0,0,680.1800311083165,111.5348975742132
2024-06-08,1001,雅思口语专项突破,英语类课程,入门,0,812,159,92,39,28,105,46,13,7,0,1075.6684471100218,2,84,21,84,55,27.45,77.3,0,49.9,10,2,0,1,0,0,837.1446536717741,137.2737200913393
2024-06-09,1001,雅思口语专项突破,英语类课程,入门,0,812,148,87,42,19,98,55,14,7,0,1118.9707662037054,4,111,28,111,71,25.79,74.6,0,39.0,31,2,0,0,0,0,858.688817553033,140.80649965251348
2024-06-10,1001,雅思口语专项突破,英语类课程,入门,0,812,125,76,32,17,82,34,10,7,0,1021.747222757946,2,67,16,67,45,26.0,81.3,0,41.6,4,0,0,0,0,0,658.6358672270577,108.00211801303902
2024-06-11,1001,雅思口语专项突破,英语类课程,入门,0,812,145,82,38,25,96,42,8,4,0,564.316642898691,2,75,18,75,50,36.58,71.8,1,53.6,14,2,0,0,0,0,741.7347850547706,121.62855346328226
2024-06-12,1001,雅思口语专项突破,英语类课程,入门,0,812,119,68,29,22,79,41,10,4,0,572.9833416171595,3,84,21,84,52,30.26,72.9,0,69.9,14,2,0,0,0,0,655.5581295297349,107.49743521858557
2024-06-13,1001,雅思口语专项突破,英语类课程,入门,0,812,137,79,38,20,90,41,6,3,0,447.89208360984816,1,64,16,64,38,30.12,88.5,0,42.0,24,2,0,0,0,0,701.7241949895754,115.06767713538736
2024-06-14,1001,雅思口语专项突破,英语类课程,入门,0,812,127,74,33,20,84,43,11,4,0,576.3822950701107,2,67,16,67,41,29.79,72.0,1,61.6,17,3,0,0,0,0,692.4909818976073,113.553628752027
2024-06-15,1001,雅思口语专项突破,英语类课程,入门,0,812,155,91,40,24,102,43,13,7,0,965.499464999811,4,92,23,92,57,38.58,88.6,0,48.6,21,3,0,0,0,0,806.3672766985471,132.22689214680477
